Code,Description,Unit,Mat Cost,Mat Factor,Mat Unit,Labor Cost,Labor Productivity,Labor Unit,Sub Cost,Equip Cost,Equip Productivity,Equip Unit,Other Cost
06.010080.0100,"12"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0110,"14"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0120,"16"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0130,"18"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0140,"20"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0150,"24"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,65,1,HR,0,0,1,HR,0
06.010080.0160,"12"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0170,"14"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0180,"16"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0190,"18"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0200,"20"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0210,"24"" A53 Schedule-80 Black Pipe, Seamless",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0220,"2-1/2"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0230,"3"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0240,"3-1/2"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0250,"4"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0260,"5"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0270,"6"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0280,"8"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010080.0290,"10"" A53 Schedule-80 Black Pipe, Seamless DELETE",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010090 Pipe Schedule-40 A53 Galvanized - Thread/Coupled,,,,,,,,,,,,,
06.010090.0010,"1/8"" A53 Schedule-40 Galvanized Pipe, Thread/Coupled",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010090.0020,"1/4"" A53 Schedule-40 Galvanized Pipe, Thread/Coupled",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010090.0030,"3/8"" A53 Schedule-40 Galvanized Pipe, Threaded/Coupled",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010090.0040,"1/2"" A53 Schedule-40 Galvanized Pipe, Thread/Coupled",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010090.0050,"3/4"" A53 Schedule-40 Galvanized Pipe, Thread/Coupled",LF,0,1,,75,1,HR,0,0,1,HR,0
06.010090.0060,"1"" A53 Schedule-40 Galvanized Pipe, Thread/Coupled",LF,0,1,,75,1,HR,0,0,1,HR,0
